,event_id,division,round,team1,team2,score1,score2,match_link
148,7537,Division 5 X-Ball™,Prelims,Tiki's Factory Revolution,Miami Elite,3,0,/cgi-bin/showgame.cgi?EID=7537&size=255&round=0&GID=237
149,7537,Division 5 X-Ball™,Prelims,Storm Riders,CRU LT,4,1,/cgi-bin/showgame.cgi?EID=7537&size=255&round=0&GID=123
150,7537,Division 5 X-Ball™,Prelims,Miami Elite,Sbs,5,3,/cgi-bin/showgame.cgi?EID=7537&size=255&round=0&GID=241
151,7537,Division 5 X-Ball™,Prelims,CRU LT,Sbs,5,4,/cgi-bin/showgame.cgi?EID=7537&size=255&round=0&GID=244
152,7537,Division 5 X-Ball™,Semi-Finals,Tiki's Factory Revolution,LA All Stars,3,0,/cgi-bin/showgame.cgi?EID=7537&size=255&round=3&GID=2501
153,7537,Division 5 X-Ball™,Semi-Finals,PRALLSTARZ ,Storm Riders,3,0,/cgi-bin/showgame.cgi?EID=7537&size=255&round=3&GID=2500
0,7349,Pro X-Ball™,Prelims,Edmonton Impact,Seattle Thunder,6,0,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=6
1,7349,Pro X-Ball™,Prelims,Tampa Bay Damage,NRG Elite,7,1,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=9
2,7349,Pro X-Ball™,Prelims,Columbus LVL,NRG Elite,7,3,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=0
3,7349,Pro X-Ball™,Prelims,NRG Elite,Seattle Thunder,6,4,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=37
4,7349,Pro X-Ball™,Prelims,Los Angeles Infamous,TRADEMYGUN OUTLAWS,8,5,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=18
5,7349,Pro X-Ball™,Prelims,Moscow Red Legion,TRADEMYGUN OUTLAWS,7,3,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2
6,7349,Pro X-Ball™,Prelims,Baltimore Revo,Los Angeles Infamous,5,4,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=5
7,7349,Pro X-Ball™,Prelims,Sacramento DMG,TRADEMYGUN OUTLAWS,7,1,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=7
8,7349,Pro X-Ball™,Prelims,San Diego Dynasty,ac DIESEL,7,4,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=1
9,7349,Pro X-Ball™,Prelims,San Diego Aftermath,ac DALLAS,5,4,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=11
10,7349,Pro X-Ball™,Prelims,ac DIESEL,ac DALLAS,8,3,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=34
11,7349,Pro X-Ball™,Prelims,Los Angeles Ironmen,ac DALLAS,6,5,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=26
12,7349,Pro X-Ball™,Prelims,Houston Heat,MLKings,7,1,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=8
13,7349,Pro X-Ball™,Prelims,San Antonio X-Factor,Uprising,9,3,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=12
14,7349,Pro X-Ball™,Prelims,MLKings,Uprising,5,4,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=10
15,7349,Pro X-Ball™,Prelims,Uprising,New York Xtreme,9,6,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=31
16,7349,Pro X-Ball™,Ocho-Finals,Tampa Bay Damage,Baltimore Revo,4,3,/cgi-bin/showgame.cgi?EID=7349&size=255&round=2&GID=0
17,7349,Pro X-Ball™,Ocho-Finals,San Diego Aftermath,MLKings,5,4,/cgi-bin/showgame.cgi?EID=7349&size=255&round=2&GID=1
18,7349,Pro X-Ball™,Quarter-Finals,San Diego Dynasty,Tampa Bay Damage,5,2,/cgi-bin/showgame.cgi?EID=7349&size=255&round=3&GID=3
19,7349,Pro X-Ball™,Quarter-Finals,Los Angeles Infamous,San Diego Aftermath,5,4,/cgi-bin/showgame.cgi?EID=7349&size=255&round=3&GID=2
20,7349,Pro X-Ball™,Quarter-Finals,Houston Heat,Moscow Red Legion,7,1,/cgi-bin/showgame.cgi?EID=7349&size=255&round=3&GID=1
21,7349,Pro X-Ball™,Quarter-Finals,San Antonio X-Factor,Edmonton Impact,6,3,/cgi-bin/showgame.cgi?EID=7349&size=255&round=3&GID=0
22,7349,Pro X-Ball™,Semi-Finals,San Antonio X-Factor,Houston Heat,6,5,/cgi-bin/showgame.cgi?EID=7349&size=255&round=4&GID=0
23,7349,Pro X-Ball™,Semi-Finals,San Diego Dynasty,Los Angeles Infamous,4,3,/cgi-bin/showgame.cgi?EID=7349&size=255&round=4&GID=1
24,7349,Semi-Pro X-Ball™,Prelims,New Orleans Hurricanes,Struggle Paintball,6,5,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2002
25,7349,Semi-Pro X-Ball™,Prelims,Struggle Paintball,Midwest Bandits,6,1,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2004
26,7349,Semi-Pro X-Ball™,Prelims,Jits Krew,Indianapolis Mutiny,5,0,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2001
27,7349,Semi-Pro X-Ball™,Prelims,Arsenal,Midwest Bandits,7,2,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2000
28,7349,Semi-Pro X-Ball™,Prelims,Indianapolis Mutiny,Midwest Bandits,5,0,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2199
29,7349,Semi-Pro X-Ball™,Prelims,CEP,Carolina Crisis,6,5,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2028
30,7349,Semi-Pro X-Ball™,Prelims,Hurricanes,Kyiv United,7,2,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2029
31,7349,Semi-Pro X-Ball™,Prelims,Carolina Crisis,TCP Machine,8,3,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2030
32,7349,Semi-Pro X-Ball™,Prelims,Kyiv United,Royal City Seadogs,7,2,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2031
